No.	英単語	意味	処理用	例文1	例文1（日本語）
1011	cough	せき，せきをする			
1011.1	sneeze	くしゃみ，くしゃみをする			
1012	fate	運命，（悪い）運，破滅			
1012.1	fatal	致命的な			
1013	scheme	計画			
1014	insult	侮辱，～を侮辱する			
1015	inhabitant	住民			
1015.1	inhabit	～に住む			
1016	fossil	化石			
1017	motive	動機			
1017.1	motivate	（人に）動機（刺激）を与える			
1017.2	motivation	動機づけ，刺激			
1018	instinct	本能，直観			
1018.1	instinctive	本能的な			
1019	legend	伝説，言い伝え			
1019.1	legendary	伝説の，伝説上の			
1020	empire	帝国			
1020.1	emperor	皇帝，天皇			
1020.2	imperial	帝国の			
1021	suburb	郊外			
1022	architecture	建築，建築様式			
1022.1	architect	建築家			
1022.2	architectural	建築の			
1023	passion	情熱			
1023.1	passionate	情熱な，熱烈な			
1024	cancer	がん			
1024.1	lung cancer	肺がん			
1025	logic	論理，論理学			
1025.1	logical	理論的な，筋の通った			
1026	dozen	ダース			
1026.1	dozens of A	何ダースものA			
1027	harvest	収穫，～を収穫する			
1028	ingredient	材料，構成要素，成分(+in, of)			
1029	hypothesis	仮説，仮定			
1030	voyage	航海，宇宙旅行			
1031	editor	編集長，編集者			
1031.1	edit	～を編集する			
1031.2	edition	（出版物の）版			
1031.3	editorial	社説，編集の			
1032	option	選択の自由(=choice)，選択肢			
1032.1	optional	随意の，自由に選択できる			
1032.2	opt	選択する，決める			
1033	hemisphere	半球，（左右の）脳半球			
1034	mechanism	仕組み，機構，装置			
1034.1	mechanical	機械の，機械的な			
1034.2	mechanics	力学，仕組み，構造			
1034.3	mechanic	機械工			
1035	anthropologist	人類学者			
1035.1	anthropology	人類学			
1036	tragedy	悲劇			
1036.1	tragic	悲劇の，悲劇的な			
1037	antibiotic	抗生物質			
1037.1	antibody	抗体			
1038	fare	運賃			
1039	debt	借金			
1040	curriculum	教育課程			
1041	component	構成要素，部分(=part)，成分			
1042	wheat	小麦			
1043	usage	語法，使用（法）			
1044	castle	城			
1045	famine	飢饉			
1046	extinction	絶滅			
1046.1	mass extinction	大量絶滅			
1046.2	extinct	絶滅した			
1047	purse	財布，ハンドバッグ			
1047.1	wallet	札入れ，財布			
1048	folk	民族，人々，国民			
1048.1	folklore	民間伝承			
1049	explosion	爆発			
1049.1	explode	爆発する，〜を爆発させる			
1049.2	explosive	爆発的な，爆発物			
1050	portion	部分			
1051	organism	生物，微生物			
1051.1	living organism	生物，生体			
1052	merchant	商人			
1052.1	merchandise	（集合的に）商品			
1053	myth	神話			
1053.1	mythology	神話（学）			
1054	incident	出来事，事件			
1054.1	incidental	付随的な，些細な			
1055	wildlife	野生生物			
1056	congress	議会			
1056.1	(the) Parliament	（イギリスの）国会			
1056.2	the Diet	（日本などの）国会			
1057	bay	湾			
1058	penalty	刑，刑罰，罰金			
1059	heritage	遺産			
1059.1	World Heritage Site	世界遺産（地）			
1060	diversity	多様性			
1060.1	diverse	多様な			
1060.2	biodiversity	生物の多様性			
1061	thumb	親指			
1061.1	palm	手のひら			
1061.2	fist	握りこぶあい			
1061.3	wrist	手首			
1061.4	ankle	足首			
1061.5	toe	足の指			
1061.6	forefinger	人差し指			
1062	geography	地理			
1062.1	geographical	地理的な			
1063	factor	要因，要素			
1064	discrimination	差別			
1064.1	racial discrimination	人種差別			
1064.2	discriminate	差別する			
1065	virus	ウイルス			
1065.1	vaccine	ワクチン			
1066	statue	像，彫像			
1067	priest	神父，牧師，聖職者			
1067.1	monk	修道士			
1068	pioneer	先駆者，開拓者，〜を開拓する			
1069	trait	特徴			
1070	bond	きずな			
1071	grocery	食料品，(groceriesで)食料品			
1072	secretary	秘書，書記官，（各省の）長官			
1072.1	the Secretary of State	国務長官			
1072.2	the Secretary of General	（国連などの）事務総長			
1073	dialect	方言			
1074	astronomy	天文学			
1074.1	astronomer	天文学者			
1074.2	astronaut	宇宙飛行士			
1075	youngster	子供			
1076	substance	物質			
1077	finding	発見			
1078	strategy	戦略，作戦，計画			
1079	lung	肺			
1079.1	stomach	胃，腹			
1079.2	liver	肝臓			
1080	opponent	敵，（ゲームなどの）相手，対向者			
1081	ritual	儀式			
1081.1	rite	儀式			
1082	outcome	結果，成果			
1082.1	come out	現れる，（本が）出版される			
1083	conservation	環境保護，（資源などの）節約			
1083.1	conserve	～を節約する，保存する			
1083.2	conservationist	環境保護論者			
1084	mammal	哺乳類			
1084.1	reptile	は虫類			
1084.2	vertebrate	脊椎動物			
1085	telescope	望遠鏡			
1085.1	telegram	電報			
1085.2	microscope	顕微鏡			
1086	refugee	難民，亡命者			
1086.1	refuge	避難（所）			
1086.2	take refuge (from A)	（Aから）避難する			
1087	code	規則，規範，記号，暗号			
1087.1	genetic code	遺伝子情報			
1087.2	Morse code	モールス信号			
1087.3	area code	市外局番			
1088	flavor	風味，～に味をつける			
1089	particle	粒子，微粒子			
1090	nursing	看護			
1090.1	nursing home	療養所，介護施設			
1090.2	nurse	看護師，～を看護する			
1090.3	nursery	託児所，保育所，養殖所			
1090.4	nursery school	保育所			
1091	suicide	自殺			
1092	habitat	生息地			
1093	bullying	いじめ			
1093.1	bully	～をいじめる，いじめっこ			
1094	dinosaur	恐竜			
1095	council	議会，会議			
1096	gender	性別			
1097	surgery	手術，外科			
1097.1	surgeon	外科医			
1098	innovation	革新			
1098.1	innovative	革新的な			
1099	protein	たんぱく質			
1099.1	fat	脂肪，太った			
1099.2	carbohydrate	炭水化物			
1100	nutrition	栄養，栄養を摂ること			
1100.1	nutrient	栄養素，栄養になる食べ物			
1101	disaster	災害，惨事，災難			
1101.1	disastrous	破滅的な			
1102	emission	排出			
1102.1	emit	〜を排出する			
1102.2	greenhouse	温室			
1103	ape	類人猿			
1104	molecule	分子			
1104.1	molecular	分子の，分子的な			
1104.2	atom	原子			
1104.3	atomic	原子の，原子力の			
1105	sweat	汗			
1106	transplant	移植，〜を移植する			
1107	species	種			
1108	tip	先，先端，〜の先に付ける			
1109	cattle	牛			
1109.1	sheep	羊			
1110	density	密度			
1110.1	dense	密集した，（霧などが）濃い			
1111	concept	概念，捉え方			
1111.1	conception	概念，考え方，想像（力），妊娠			
1111.2	conceive	（〜を）想像する，思いつく，考える，妊娠する			
1112	pale	青白い，青ざめた			
1113	precious	貴重な，高価な			
1114	loyal	忠実な，誠実な			
1114.1	loyalty	忠誠，誠実			
1115	isolated	孤立している			
1115.1	isolate	〜を孤立させる，隔離する			
1115.2	isolation	孤立，隔離			
1116	generous	気前のよい，たっぷりした			
1116.1	generosity	気前の良さ			
1117	tropical	熱帯の，熱帯地方の			
1117.1	tropics	熱帯地方			
1117.2	temperate	温帯の，温暖な			
1117.3	frigid	寒帯の，寒冷な			
1118	reluctant	したがらない			
1118.1	reluctance	気が進まないこと			
1119	vague	漠然とした，はっきりしない			
1120	vast	広大な，莫大な			
1121	numerous	たくさんの			
1122	rural	田舎の			
1123	widespread	広まっている			
1124	complicated	複雑な			
1124.1	complication	複雑化，合併症			
1125	visible	目に見える			
1125.1	visual	視覚の，視覚による			
1126	raw	生の，加工されていない			
1127	remote	へんぴな，遠い(=distant)			
1128	urgent	緊急の			
1128.1	urgency	緊急（性）			
1129	silly	ばかな			
1130	striking	いちじるしい			
1131	adequate	十分な，適切な			
1132	extraordinary	並外れた，異常な			
1133	odd	おかしな，奇妙な／半端な			
1134	abstract	抽象的な			
1135	mutual	相互の			
1136	excessive	過度の			
1126.1	excess	過剰，超過			
1136.2	exceed	～を超える，〜にまさる			
1137	ashamed	恥ずかしい			
1137.1	shame	恥，残念なこと(a shame)			
1137.2	shameful	恥ずべき，みっともない			
1138	tremendous	とてつもない，大きな，巨大な			
1139	inevitable	避けられない，必然的な			
1139.1	inevitably	必然的に			
1140	pure	純粋な			
1140.1	purity	純粋，清らかさ			
1141	stable	安定した，一定の			
1141.1	stability	安定（性），固定			
1142	indifferent	無関心な			
1142.1	indifference	無関心			
1143	aggressive	攻撃的な，積極的な，強引な			
1143.1	aggression	攻撃，侵略			
1144	ultimate	究極の，最終の			
1145	shy	内気な，はずかしがりな			
1146	solar	太陽の			
1146.1	lunar	月の			
1147	profound	深い，（影響・変化などが）大きい			
1148	subtle	微妙な			
1149	conservative	保守的な，控えめな			
1150	brave	勇敢な			
1151	intense	強烈な，（関心・感情が）強い，（競争などが）激しい			
1151.1	intensive	集中的な，激しい			
1151.2	intensify	〜を強める			
1151.3	intensity	激しさ，強さ			
1152	alcoholic	アルコール（性）の，アルコール依存症患者			
1152.1	workaholic	仕事中毒の人			
1153	manual	手を使う，手引書			
1154	cruel	残酷な			
1154.1	cruelty	残酷さ，残虐な行為			
1155	rational	理性的な，合理的な			
1155.1	ration	配給（量），〜を配給する			
1156	initial	最初の，頭文字			
1156.1	initiate	〜を始める，（計画など）に着手する			
1156.2	initially	最初は，最初に			
1157	immune	免疫の			
1158	linguistic	言語の，言語学の			
1158.1	linguist	言語学者			
1158.2	linguistics	言語学			
1159	crucial	重大な，決定的な			
1160	verbal	言葉による			
1161	optimistic	楽観的な			
1161.1	optimism	楽観主義			
1161.2	optimist	楽天家，楽観主義者			
1162	flexible	柔軟な，変更可能な			
1162.1	flexibility	柔軟性			
1163	grateful	感謝している			
1163.1	gratitude	感謝の気持ち			
1164	lively	生き生きとした，元気な			
1164.1	alive	生きている			
1165	overwhelming	圧倒的な			
1165.1	overwhelm	〜を圧倒する			
1166	abundant	豊富な(+in)			
1166.1	abundance	多量，豊富			
1166.2	abound	富む(+in)			
1167	selfish	利己的な			
1168	ugly	醜い，不快な			
1169	racial	人種の，民族の			
1169.1	race	民族，論争			
1169.2	racism	人種差別，人種的偏見			
1170	prominent	有名な，目立った，卓越した			
1170.1	prominence	目立つこと，重要			
1171	controversial	論議を呼ぶ，意見が対立する			
1171.1	controversy	論争			
1172	federal	連邦の			
1173	ridiculous	馬鹿げた			
1173.1	ridicule	〜をあざ笑う，あざ笑い，嘲笑			
1174	imaginary	架空の，想像上の			
1174.1	imaginative	想像力豊かな			
1174.2	imaginable	想像しうる			
1175	harsh	厳しい，無慈悲な			
1176	random	無作為な，でたらめの，手当たり次第の			
1177	adolescent	思春期の，（10代の）若者(=teenager)			
1177.1	adolescence	思春期			
1178	up-to-date	最新の			
1179	liberal	自由主義の			
1179.1	liberty	自由			
1179.2	liberate	〜を解放する			
1179.3	liberation	解放			
1180	prior	前の			
1180.1	priority	優先			
1181	moderate	適度な，節度ある，控えめな			
1182	fluent	流ちょうな			
1182.1	fluency	流ちょうさ			
1182.2	fluently	流ちょうに			
1183	elaborate	手の込んだ			
1184	incredible	信じられない，途方もない			
1184.1	incredibly	信じられないほど			
1185	radical	根本的な，過激な			
1186	acid	酸性の，酸			
1187	deaf	耳が不自由な			
1187.1	blind	目の見えない			
1188	medieval	中世の			
1189	ecological	生態の，自然環境の			
1189.1	ecology	自然環境，生態学			
1189.2	ecosystem	生態系			
1189.3	ecologist	環境保護主義者			
1190	slight	少しの，わずかな			
1191	ignorant	知らない，無知な			
1191.1	ignorance	無知			
1192	cognitive	認知の			
1192.1	cognition	認知，認識			
1193	absolutely	絶対に，全く			
1193.1	absolute	絶対の，完全な			
1194	virtually	ほとんど，事実上			
1194.1	virtual	実際の，事実上の			
1195	somewhat	多少			
1196	merely	単に			
1196.1	mere	ほんの，単なる			
1197	literally	文字通り			
1197.1	literal	文字通りの			
1197.2	literary	文学の			
1197.3	literate	読み書きのできる			
1197.4	literacy	読み書きの能力，（ある分野の）能力，知識			
1198	seemingly	一見			
1199	regardless	関係なく			
1200	thoroughly	徹底的に，完全に			
1200.1	thorough	完全な，徹底的な，十分な			
1201	submit	Aに服従する(+to A)，（案・書類など）を提出する(=hand in)			
1202	tempt	〜を誘惑する，〜する気にさせる			
1202.1	tempting	魅力的な			
1202.2	temptation	誘惑（するもの）			
1203	resign	（〜を）辞職する，やめる			
1203.1	resignation	辞職，辞任			
1204	conform	（規則・習慣などに）従う，合わせる(+to)			
1204.1	conformity	（全体への）服従，一致			
1205	confine	〜を限定する(=limit)，閉じ込める，縛りつける			
1206	assemble	〜を組み立てる(=put together)，〜を集める，集まる(=get together)			
1206.1	assembly	集会，組み立て			
1207	dedicate	AをBにささげる(+A to B)			
1207.1	dedicated	熱心な，専門の			
1208	advocate	（主義など）を主張する，唱える，支持する，主張する人			
1209	thrive	繫栄する(=prosper,flourish)，よく成長する			
1210	provoke	（人の反応など）を引き起こす，〜を怒らせる			
1211	dictate	〜を命じる，要求する，決定する，（文）を書き取らせる，口述する			
1211.1	dictator	独裁者			
1211.2	dictation	書き取り，口述			
1212	exploit	（資源など）を利用する，開発する(=develop)，〜を搾取する			
1212.1	exploitation	開発，利用，搾取			
1213	surrender	降伏する(+to)，～を引き渡す(=give in)			
1214	reproduce	（音・場面など）を再生する，複製する(=copy)，繁殖する，（子）を繁殖させる			
1214.1	reproduction	再生，複製，生殖作用			
1215	acknowledge	（事実，過失，重要性など）を認める(=admit)			
1216	swell	ふくらむ，はれる，増加する			
1217	shed	（葉など）を落とす，（皮など）を脱ぐ，（血，涙など）を流す			
1218	wind	曲がる，〜を巻く			
1219	cite	〜を引き合いに出す，（例・証拠）をあげる(=mention)，引用する			
1220	digest	〜を消化する，（情報など）をよく理解する			
1220.1	digestive	消化の，消化に良い			
1220.2	digestion	消化			
1221	skip	～をとばす，～に従う(=omit, miss)，（〜を）飛ばし読みする，（〜を）軽く飛ぶ，スキップする			
1222	bind	～を縛る，束縛する，～を束ねる，団結させる			
1223	dissolve	（～を）溶解する，解散（解消）される(\textit{be} dissolved)			
1224	implement	～を実行する，実施する(=carry out)，道具，器具(=tool, instrument)			
1225	steer	（船・車など）を操縦する，～を導く			
1226	congratulate	（人）を祝福する，（人）におめでとうと言う			
1226.1	congratulations	祝いの言葉「おめでとう」			
1227	designate	～を指定する(+as)，明示する			
1228	violate	（約束・法律）を破る，～に違反する，〜を侵害する，乱す			
1228.1	violation	違反（行為），侵害			
1229	presume	～と推定する，思う			
1229.1	presumably	たぶん，おそらく			
1230	recruit	（新人など）を入れる，新人，新入生			
1231	coincide	同時に起きる，重なる，（考えなどが）一致する(+with)			
1231.1	coincidence	偶然の一致			
1231.2	incidence	（悪いことの）発生率，頻度			
1232	enforce	～を施行する，～を強制する			
1233	displace	（人）を故郷から追い出す，～にとって代わる(=take the place of)			
1234	shrink	縮む，～を縮ませる，減る，しり込みする			
1235	betray	～を裏切る，～をもらす，〜をうっかり表す			
1236	comprise	～から構成される(=consist of)，～を含む，～を構成する，〜を占める(=constitute)			
1237	indulge	Aにふける，Aを楽しむ(+in A)，（人）を甘やかす			
1237.1	indulgence	道楽，快楽，甘やかすこと			
1238	penetrate	（～に）入り込む，貫通する，〜に浸透する，しみ込む			
1239	devastate	～を壊滅させる，破壊する(=destroy)，（人）を打ちのめす，（人）に衝撃を与える(=shock)			
1239.1	devastating	壊滅的な，ひどい			
1240	plunge	Aに突っ込む，Aに陥る(=+into A)，AをBに突っ込む，AをBに陥れる(+A into B)			
1241	bounce	跳ね返る，反射する，弾む，～を跳ね返らせる			
1242	contradict	～と矛盾する，食い違う，〜に反論する，～を否定する			
1242.1	contradiction	矛盾			
1242.2	contradictory	矛盾した			
1243	prescribe	〜を処方する，〜を指示する			
1243.1	prescription	処方箋，指示			
1244	oppress	〜をしいたげる，〜を圧迫する			
1244.1	oppression	圧迫，苦痛			
1245	cherish	〜を胸に抱く，～を大切にする			
1245.1	cherished	大切にしている			
1246	illuminate	～を照らす，〜を解明する(=clarify)			
1246.1	illumination	照明，解明			
1247	trigger	〜のきっかけになる，～を誘発する，引き金，きっかけ			
1248	commute	通勤・通学する，通勤，通学			
1248.1	commuter	通勤者，通学者			
1249	induce	～を誘う，引き起こす(=cause)，AをVする気にする(+A to V)，説得する(=persuade)			
1250	utilize	〜を利用する，活用する(=make use of)			
1250.1	utility	役立つこと，実用，公営事業			
1251	snap	ぽきんと折れる，折る，〜をパチンと鳴らす，素早く動く，ピシャリという			
1252	donate	～を提供する			
1252.1	donor	（臓器の）提供者，寄贈者			
1252.2	recipient	受け手，（臓器を）もらう人			
1252.3	donation	提供，寄付			
1253	hatch	（ひな・卵）をかえす，かえる			
1254	enclose	～を囲む，〜を閉じ込める，〜を同封する			
1254.1	enclosed	閉ざされた，隔離された			
1255	prevail	普及している，広まる，勝つ，まさる			
1255.1	prevalent	普及している，流布している			
1256	sigh	ため息をつく，～とため息交じりに言う，ため息			
1257	leak	漏れる，〜を漏らす，漏れ			
1258	compel	（人）に強制する			
1258.1	compelling	心を動かす，説得力のある			
1259	crush	～を押しつぶす，つぶれる，～を鎮圧する			
1260	comprehend	～を理解する			
1260.1	comprehension	理解			
1260.2	comprehensible	理解できる			
1261	negotiate	交渉する，～を取り決める			
1261.1	negotiation	交渉，話し合い			
1262	persist	持続する，残る，Aを辛抱強く続ける(+in A)			
1262.1	persistent	持続する，ねばり強い，しつこい			
1262.2	persistence	持続すること，ねばり強さ			
1263	multiply	～を増やす，増える(=increase)，AにBをかける(+A by B)，繁殖する			
1263.1	multiplication	増加，繁殖			
1263.2	multiple	複合的な，多様な(=various)			
1263.3	multitude	多数，群衆(=crowd)			
1264	conceive	（〜を）想像する，思いつく，考える，妊娠する			
1264.1	concept	概念，捉え方			
1264.2	conception	概念，考え方，想像（力），妊娠			
1265	compensate	埋め合わせる，補償する(=make up for)			
1265.1	compensation	埋め合わせ，補償			
1266	suspend	～を中止する，停止する，～をつるす，ぶら下げる			
1266.1	suspense	不安，気がかり，サスペンス			
1267	stir	～をかきたてる，～をかき回す，かき混ぜる			
1268	soak	～を浸す，びしょぬれにする，Aを吸収する(+A up)			
1268.1	soaked	びしょぬれで			
1269	refine	～を洗練する，磨きをかける，〜を精製する			
1269.1	refined	上品な，洗練された			
1270	arouse	〜を刺激する，かきたてる，（人）を興奮させる			
1271	precede	～に先行する，先立つ			
1271.1	preceding	（時間・順序においての）前の，先の			
1271.2	precedent	先列，前列			
1271.3	unprecedented	先例のない，空前の			
1272	render	OをCにする・変える(+O C)(=make O C)，AにBを与える(+A B)(=give A B)			
1273	mount	～をすえつける，（馬・自転車）に乗る，増える(=increase)			
1274	retreat	退く，引きこもる，退くこと，休養の場所，隠れ家			
1275	startle	～を驚かせる，びっくりさせる			
1275.1	startling	（人を）びっくりさせる（ような），驚かせる（ような）			
1275.2	startled	（人が）びっくりしている			
1276	dare	Vする勇気がある，あえてVする(+to V)			
1276.1	daring	大胆な			
1277	sphere	領域，範囲(=area)，球体			
1278	sequence	連続（するもの），順序，順番(=order)，場面			
1279	deposit	預金，頭金，堆積物，鉱床，～を置く，預ける			
1280	poll	世論調査，投票，（人々）の世論調査をする			
1281	caution	用心，慎重，警告，～に警告する			
1281.1	cautious	用心深い			
1282	rage	激怒，怒り，（病気などが）猛威を振るう，荒れ狂う			
1282.1	raging	（海などが）荒れ狂う			
1283	formula	式，公式，方法(=way)，秘けつ，解決策，決まり文句			
1283.1	formulate	（計画，規則など）を作成する，～を表現する			
1284	plot	（小説，演劇などの）筋，陰謀，たくらみ，（土地の）区画，（悪事）をたくらむ，～を秘かに企てる			
1285	scope	範囲(=area)，機会，余地(=room)			
1286	norm	規範，行動基準，普通のこと，ありふれたこと(=rule⇔exception)			
1286.1	normal	正常な，普通の			
1287	disgust	嫌悪，反感，むかつき，～嫌悪を抱かせる			
1287.1	disgusting	（人を）むかつかせる			
1287.2	disgusted	（人が）むかついている			
1288	compromise	妥協，妥協する，（信用など）を汚す			
1289	supervisor	監督者，管理者			
1289.1	supervise	～を監督・管理する			
1289.2	supervision	監督，管理			
1290	paradox	逆説，パラドックス，矛盾して見えるもの			
1291	tissue	（動植物の細胞の）組織，ティッシュペーパー			
1292	breakdown	（組織・関係などの）崩壊(=collapse)，決裂，（心身の）衰弱，機能停止			
1293	initiative	（新）構想，計画，戦略，主導権，自発性，独創性			
1293.1	initial	最初の			
1293.2	initiate	～を始める，（計画など）に着手する			
1294	fabric	織物，布，組織，構造(=structure)			
1294.1	fiber	繊維			
1295	publicity	宣伝，広告，評判，知名度			
1296	summit	頂点，頂上(=peak, top)，首脳会議			
1297	flock	（鳥，羊など）群れ，群がる，集まる			
1297.1	herd	（動物の）群れ			
1297.2	feather	羽，羽毛			
1298	plague	疫病，伝染病，災害，～を苦しめる，悩ます			
1299	haste	急ぐこと			
1299.1	hasty	あわてた			
1299.2	hasten	～を早める，急ぐ			
1300	nap	うたた寝，居眠り，うたた寝する，居眠りする			
1300.1	snore	いびき（の音），いびきをかく			
1301	ally	同盟国，協力者			
1301.1	alliance	同盟，協力			
1302	draft	下書きする，草稿，徴兵(the draft)，～を下書きする			
1303	spectacle	光景，情景，見せ物，スペクタクル			
1303.1	spectacular	見ごたえのある			
1303.2	spectator	見物人，（スポーツなどの）観客			
1304	premise	前提，敷地(～s)，建物			
1305	asset	財産，資産，重要な物（人），長所，とりえ			
1306	lag	遅れ，遅延，（ほかのものより）遅れる			
1307	therapy	療法，治療法			
1307.1	therapist	セラピスト，療法士			
1308	reception	おもてなし，歓迎（会），（ホテルの）フロント，受付			
1308.1	receive	～を受け取る			
1308.2	receipt	領収書，受領			
1308.3	receptionist	受付係			
1308.4	recipient	受取人，臓器受容者			
1309	compound	化合物，複合体，複合的な，複雑な，（問題）を込み入らせる			
1310	blessing	ありがたいもの，恵み，祝福			
1310.1	blessed	恵まれた，祝福された			
1311	sensation	感覚，感じ，大事件，大評判，センセーション			
1311.1	sensational	センセーショナルな，扇情的な			
1312	recession	不景気，不況			
1313	pole	棒，さお，（天体の）極，北極，南極			
1313.1	polar	極の，極地の			
1313.2	the Arctic	北極（圏）			
1313.3	the Antarctic	南極（圏）			
1314	outlook	考え方，態度，見通し，見込み			
1315	endeavor	活動(=activity)，企て，努力(=effort)，努力する(=try)(+to V)			
1316	mercy	慈悲，情け，幸運			
1316.1	merciful	慈悲（情け）深い			
1317	counterpart	Aに相当するもの(A's+)			
1318	session	（ある活動の）期間，（訓練・会合などの）会期，討論，会議			
1319	spectrum	A（意見・気分など）の変動範囲(the/a spectrum of A)，領域，（光の）スペクトル			
1320	junk	くず，がらくた			
1321	worship	崇拝，礼拝，～を崇拝する			
1322	apt	Vしがちである，Vする傾向がある(\textit{be} apt to V)(=likely, liable)，適切な			
1322.1	aptitude	素質，才能(+for)			
1323	humble	謙虚な(=modest⇔arrogant)，卑下した，粗末な，卑しい			
1323.1	humility	謙虚さ			
1324	entitled	Aを得る（する）権利がある(\textit{be} entitled to A)，～と題された			
1325	valid	妥当な，正当な，（切符・文書などが）有効な，効力がある			
1325.1	validity	正当性，妥当性			
1326	faint	かすかな，気絶する			
1327	stiff	堅い，凝った，堅苦しい，（競争などが）厳しい			
1328	obscure	わかりにくい，はっきりしない，無名の，～をあいまいにする，隠す(=hide)			
1329	fierce	（競争・反対・嵐などが）厳しい，どう猛な			
1330	acute	（問題が）深刻な(=serious)，（感覚・痛みが）鋭い(=sharp⇔dull)，（症状が）急性の(⇔chronic)			
1331	idle	（仕事がなくて）何もしていない(⇔busy)，なまけものの(=lazy)，無意味な(=meaningless)，ぶらぶら過ごす			
1332	crude	粗末な，荒削りの(=rough)，粗野な，下品な(=rude)，未加工の			
1333	jealous	嫉妬深い，うらやましい			
1333.1	jealousy	嫉妬，ねたみ			
1334	pregnant	妊娠している			
1344.1	pregnancy	妊娠			
1335	liable	Vしがちである(\textit{be} liable to V)，可能性が高い(=likely, apt)，（病気などに）かかりやすい(+to A)，受けやすい，（法律上）責任がある(+for A)			
1335.1	liability	（法的）責任			
1336	stubborn	頑固な，断固たる，変えにくい			
1336.1	stubbornly	頑固に，執拗に			
1337	decent	（世間から見て）まともな，ちゃんとした(=respectable)，かなり良い			
1338	marvelous	驚くべき，不思議な，すばらしい			
1338.1	marvel	驚く(=wonder)，驚くべきもの			
1339	misleading	誤解を招く，紛らわしい			
1339.1	misleading	～を間違った方向に導く，だます			
1340	synthetic	合成の，人工的な			
1340.1	synthesize	～を合成する，統合する			
1340.2	synthesis	合成，統合			
1341	classical	（音楽が）クラシックの，ギリシャ・ローマの，古典的な			
1341.1	classic	古典の，名作の，典型的な，古典			
1342	Muslim	イスラム教の，イスラム教徒，回教徒			
1342.1	Islam	イスラム教，全イスラム世界			
1342.2	Islamic	イスラム教の			
1342.3	Buddhist	仏教徒			
1343	anticipate	～を予想する			
1343.1	anticipation	期待，予想			
1344	rub	～をこする			
1344.1	rubber	ゴム			
1345	dispose	処分する，捨てる，〜を捨てる(+of)			
1345.1	disposal	処分，廃棄			
1345.2	disposable	使い捨ての			
1346	refrain	控える，つつしむ			
1347	accumulate	～を貯蓄する，たまる			
1347.1	accumulation	蓄積			
1348	boost	～を活気づける，～を高める，促進，活気づけ			
1349	drag	〜を引きずる			
1350	revise	～を修正する，（本など）を修正する			
1350.1	revision	修正，改訂			
1351	scratch	～をかく，ひっかき傷			
1352	roar	ほえる，どよめく，ほえ声，とどろき			
1353	quote	～を引用する			
1354	bloom	咲く，盛りになる，花			
1355	insert	～を差し込む，（文・遺伝子などを）を挿入する			
1356	await	～を待つ			
1357	dread	～を恐れる			
1357.1	dreadful	ひどい，恐い			
1358	conceal	～を隠す		I saw a cat  \enword{conceal}ing something in the sand.	猫が砂の中に何か\jpword{隠す}のを見た。
1359	enrich	～を豊かにする，～を向上させる			
1360	cling	固執する，くっつく，〜にくっつく(+to)			
1361	surpass	～にまさる，～を越える			
1362	suppress	～を抑える，～を抑圧（抑制）する			
1362.1	suppression	抑制，抑圧			
1363	portray	～を描く，～を描写する			
1363.1	portrait	肖像（画），描写			
1364	soar	急上昇する，舞い上がる			
1365	drain	～を排出する，流出する，下水路，流出			
1366	glow	ボーッと光る，ほてる，輝き			
1367	migrate	移住する			
1367.1	migration	移住，（鳥・魚の）移動			
1368	exclaim	叫ぶ			
1369	exert	～を及ぼす，（力など）を行使する			
1370	disguise	～を隠す			
1371	accelerate	～を加速する，～を速める			
1372	dwell	住む			
1372.1	dwelling	住居			
1372.2	dweller	住人			
1373	integrate	～を融けこませる，～を統合する，とりこむ			
1374	weep	泣く			
1374.1	sob	むせび泣く，泣きじゃくる			
1375	reassure	～を安心させる，～を元気づける			
1375.1	reassuring	安心させる			
1376	crawl	はって進む			
1377	restrain	～を抑制する			
1377.1	restraint	制止，束縛			
1378	resent	～に腹を立てる，～に憤慨する，～を不快に思う			
1378.1	resentment	憤慨，立腹			
1378.2	resentful	憤慨している，怒っている			
1379	yell	大声で叫ぶ，叫び声，金切り声			
1380	assess	～を評価する，～を推定する			
1380.1	assessment	評価			
1381	carve	～を彫る			
1381.1	carved	彫刻された			
1382	halt	～を止める，停止，休止			
1383	inspect	～を検査する(=examine)，～を視察する			
1383.1	inspection	検査，視察			
1384	tackle	～に取り組む			
1385	omit	～を省く，～を省略する			
1386	chew	（食べ物）を噛んで食べる，噛む			
1387	resume	～を再開する，～を再び始める			
1388	mold	～を作る，（人格などを）形成する，型，かび			
1389	accommodate	～を収容できる			
1389.1	accommodation	宿泊（収容）設備			
1390	erase	～を消す			
1391	infer	推量する			
1392	revive	～を生き返らせる，生き返る			
1392.1	revival	生き返り，復活			
1393	contemplate	～を考える			
1394	rotate	回転する，～を回転させる			
1394.1	rotation	回転，自転，交替			
1395	disrupt	～をかき乱す，～を中断させる			
1395.1	disruption	中断，混乱			
1396	navigate	進路を決める，～を誘導する，かじをとる			
1396.1	navigation	運行，航海			
1397	ache	痛む			
1398	discard	～を捨てる，～を放棄する，処分する			
1399	incorporate	～を取り入れる			
1400	overtake	～を追い越す			
1401	supplement	～を補う，補充，付録，追加			
1402	manipulate	～を操作する，～を巧みに扱う			
1403	nourish	～を養う，～に栄養を与える			
1403.1	nourishment	栄養，食物			
1404	squeeze	～をしぼる，～をしぼり取る			
1405	depict	～を描く，～を描写する			
